manufacturer,code,name,substrate,coating_family,thickness_mm,actual_thickness_mm,temper_mode,exposure_rule,allowed_surfaces,edge_deletion,deposition,legacy_code,notes,review,igdb_coating,igdb_substrate,igdb_tvis,igdb_tsol,igdb_emis2,igdb_version,igdb_id
Cardinal Glass Industries,,Float Glass - 1.6mm,clear,uncoated,2,1.600,,,,,,,,,,Float Glass,0.910,0.880,0.840,IGDB v68.0,2022
Cardinal Glass Industries,,CG2-16 08211981,,uncoated,2.2,2.200,,,,,,,,"похоже на лабораторный код, не товар",,CG2-16 08211981,0.167,0.075,0.044,IGDB v60.0,18209
Cardinal Glass Industries,,CG2-55_22124-2,,uncoated,2.2,2.200,,,,,,,,"похоже на лабораторный код, не товар",,CG2-55_22124-2,0.604,0.259,0.028,IGDB v101.0,2195
Cardinal Glass Industries,,CG3-15_10181,,uncoated,2.2,2.200,,,,,,,,"похоже на лабораторный код, не товар",,CG3-15_10181,0.149,0.059,0.030,IGDB v82.0,18263
Cardinal Glass Industries,,CG60 011080,,uncoated,2.2,2.200,,,,,,,,"похоже на лабораторный код, не товар",,CG60 011080,0.649,0.251,0.020,IGDB v90.0,18274
Cardinal Glass Industries,,CG74 041990,,uncoated,2.2,2.200,,,,,,,,"похоже на лабораторный код, не товар",,CG74 041990,0.826,0.496,0.045,IGDB v90.0,18268
Cardinal Glass Industries,,CGA86-55 2mm,,uncoated,2.2,2.200,,,,,,,,"похоже на лабораторный код, не товар",,CGA86-55,0.867,0.609,0.053,IGDB v103.0,2133
Cardinal Glass Industries,,CGD89_092661,,uncoated,2.2,2.200,,,,,,,,"похоже на лабораторный код, не товар",,CGD89_092661,0.868,0.684,0.149,IGDB v65.0,18100
Cardinal Glass Industries,,Comfort Select 73 on 2mm Clear,clear,lowe,2.2,2.200,,,,,,,,,Comfort Select 73,Clear,0.845,0.727,0.840,IGDB v89.0,1031
Cardinal Glass Industries,,Comfort Select 73Plus on 2mm Clear,clear,lowe,2.2,2.310,,,,,,,,,Comfort Select 73Plus,Clear,0.854,0.736,0.186,IGDB v89.0,1022
Cardinal Glass Industries,,Float Glass - 2mm,clear,uncoated,2.2,2.200,,,,,,,,,,Float Glass,0.909,0.864,0.840,IGDB v29.0,2000
Cardinal Glass Industries,,i89 on 2.2mm Clear,clear,lowe,2.2,2.200,,,,,,,,,i89,Clear,0.888,0.748,0.149,IGDB v97.0,2158
Cardinal Glass Industries,,LoE 180 on 2.2mm Clear,clear,lowe,2.2,2.200,,,,,,,,,LoE 180,Clear,0.876,0.701,0.068,IGDB v97.0,2189
Cardinal Glass Industries,,LoE 180ESC on 2.2mm Clear,clear,lowe,2.2,2.200,,,,,,,,,LoE 180ESC,Clear,0.878,0.729,0.080,IGDB v71.0,2030
Cardinal Glass Industries,,LoE 340+ on 2mm Clear,clear,lowe,2.2,2.200,,,,,,,,,LoE 340+,Clear,0.433,0.162,0.027,IGDB v107.0,2138
Cardinal Glass Industries,,LoE² 240 on 2.2mm Clear,clear,lowe,2.2,2.200,,,,,,,,,LoE² 240,Clear,0.443,0.239,0.051,IGDB v92.0,2043
Cardinal Glass Industries,,LoE² 270 on 2.2mm Clear,clear,lowe,2.2,2.200,,,,,,,,,LoE² 270,Clear,0.775,0.383,0.035,IGDB v69.0,2025
Cardinal Glass Industries,,LoE² 272 on 2.2mm Clear,clear,lowe,2.2,2.200,,,,,,,,,LoE² 272,Clear,0.798,0.434,0.042,IGDB v97.0,2010
Cardinal Glass Industries,,LoE³ 340 on 2.2mm Clear,clear,lowe,2.2,2.200,,,,,,,,,LoE³ 340,Clear,0.429,0.165,0.028,IGDB v40.0,2163
Cardinal Glass Industries,,LoE³ 366 on 2.2mm Clear,clear,lowe,2.2,2.200,,,,,,,,,LoE³ 366,Clear,0.718,0.278,0.020,IGDB v69.0,2153
Cardinal Glass Industries,,PureVision - 2.2mm,clear,uncoated,2.2,2.200,,,,,,,,,,PureVision,0.911,0.889,0.840,IGDB v89.0,872
Cardinal Glass Industries,,Quad LoE 452 on 2.2mm Clear,clear,lowe,2.2,2.200,,,,,,,,,Quad LoE 452,Clear,0.577,0.214,0.018,IGDB v72.0,2103
Cardinal Glass Industries,,x89 on 2mm Clear,clear,lowe,2.2,2.200,,,,,,,,,x89,Clear,0.893,0.774,0.840,IGDB v29.0,2005
Cardinal Glass Industries,,CG2-16 08211981,,uncoated,3,3.000,,,,,,,,"похоже на лабораторный код, не товар",,CG2-16 08211981,0.166,0.074,0.044,IGDB v97.0,18210
Cardinal Glass Industries,,CG2-55_22124-3,,uncoated,3,3.000,,,,,,,,"похоже на лабораторный код, не товар",,CG2-55_22124-3,0.600,0.257,0.028,IGDB v101.0,2196
Cardinal Glass Industries,,CG3-15_10181,,uncoated,3,3.000,,,,,,,,"похоже на лабораторный код, не товар",,CG3-15_10181,0.148,0.058,0.030,IGDB v97.0,18264
Cardinal Glass Industries,,CG60 011080,,uncoated,3,3.000,,,,,,,,"похоже на лабораторный код, не товар",,CG60 011080,0.646,0.249,0.020,IGDB v97.0,18275
Cardinal Glass Industries,,CG74 041990,,uncoated,3,3.000,,,,,,,,"похоже на лабораторный код, не товар",,CG74 041990,0.821,0.490,0.045,IGDB v97.0,18269
Cardinal Glass Industries,,CGA86-55 3mm,,uncoated,3,3.000,,,,,,,,"похоже на лабораторный код, не товар",,CGA86-55,0.863,0.599,0.053,IGDB v103.0,2134
Cardinal Glass Industries,,CGD89_092661,,uncoated,3,3.000,,,,,,,,"похоже на лабораторный код, не товар",,CGD89_092661,0.864,0.672,0.149,IGDB v97.0,18101
Cardinal Glass Industries,,Comfort Select 73 on 3mm Clear,clear,lowe,3,3.000,,,,,,,,,Comfort Select 73,Clear,0.816,0.688,0.840,IGDB v89.0,1032
Cardinal Glass Industries,,Comfort Select 73Plus on 3mm Clear,clear,lowe,3,3.000,,,,,,,,,Comfort Select 73Plus,Clear,0.843,0.717,0.182,IGDB v89.0,1023
Cardinal Glass Industries,,Float Glass - 2.8mm,clear,uncoated,3,2.800,,,,,,,,,,Float Glass,0.899,0.856,0.840,IGDB v97.0,2021
Cardinal Glass Industries,,i89 on 3mm Clear,clear,lowe,3,3.000,,,,,,,,,i89,Clear,0.884,0.735,0.149,IGDB v97.0,2159
Cardinal Glass Industries,,LoE 180 on 2.8mm Clear,clear,lowe,3,2.800,,,,,,,,,LoE 180,Clear,0.871,0.698,0.068,IGDB v97.0,2190
Cardinal Glass Industries,,LoE 180ESC on 3mm Clear,clear,lowe,3,3.000,,,,,,,,,LoE 180ESC,Clear,0.873,0.716,0.080,IGDB v97.0,2031
Cardinal Glass Industries,,LoE 340+ on 3mm Clear,clear,lowe,3,3.100,,,,,,,,,LoE 340+,Clear,0.431,0.161,0.027,IGDB v107.0,2139
Cardinal Glass Industries,,LoE² 240 on 3mm Clear,clear,lowe,3,3.000,,,,,,,,,LoE² 240,Clear,0.442,0.236,0.051,IGDB v92.0,2044
Cardinal Glass Industries,,LoE² 270 on 3mm Clear,clear,lowe,3,3.000,,,,,,,,,LoE² 270,Clear,0.770,0.379,0.035,IGDB v69.0,2026
Cardinal Glass Industries,,LoE² 272 on 3 mm Clear,clear,lowe,3,3.000,,,,,,,,,LoE² 272,Clear,0.793,0.429,0.042,IGDB v97.0,2011
Cardinal Glass Industries,,LoE³ 340 on 3mm Clear,clear,lowe,3,3.000,,,,,,,,,LoE³ 340,Clear,0.426,0.164,0.028,IGDB v40.0,2164
Cardinal Glass Industries,,LoE³ 366 on 3mm Clear,clear,lowe,3,3.000,,,,,,,,,LoE³ 366,Clear,0.714,0.276,0.020,IGDB v69.0,2154
Cardinal Glass Industries,,PureVision - 3mm,clear,uncoated,3,3.100,,,,,,,,,,PureVision,0.910,0.880,0.840,IGDB v89.0,873
Cardinal Glass Industries,,Quad LoE 452 on 3mm Clear,clear,lowe,3,3.000,,,,,,,,,Quad LoE 452,Clear,0.574,0.212,0.018,IGDB v72.0,2104
Cardinal Glass Industries,,x89 on 3mm Clear,clear,lowe,3,3.000,,,,,,,,,x89,Clear,0.888,0.760,0.840,IGDB v29.0,2006
Cardinal Glass Industries,,CG2-16 08211981,,uncoated,4,3.900,,,,,,,,"похоже на лабораторный код, не товар",,CG2-16 08211981,0.165,0.073,0.044,IGDB v60.0,18211
Cardinal Glass Industries,,CG2-55_22124-4,,uncoated,4,3.900,,,,,,,,"похоже на лабораторный код, не товар",,CG2-55_22124-4,0.598,0.255,0.028,IGDB v101.0,2197
Cardinal Glass Industries,,CG3-15_10181,,uncoated,4,3.900,,,,,,,,"похоже на лабораторный код, не товар",,CG3-15_10181,0.147,0.058,0.030,IGDB v82.0,18265
Cardinal Glass Industries,,CG60 011080,,uncoated,4,3.900,,,,,,,,"похоже на лабораторный код, не товар",,CG60 011080,0.644,0.247,0.020,IGDB v90.0,18276
Cardinal Glass Industries,,CG74 041990,,uncoated,4,3.900,,,,,,,,"похоже на лабораторный код, не товар",,CG74 041990,0.818,0.484,0.045,IGDB v90.0,18270
Cardinal Glass Industries,,CGA86-55 4mm,,uncoated,4,3.900,,,,,,,,"похоже на лабораторный код, не товар",,CGA86-55,0.859,0.590,0.053,IGDB v103.0,2135
Cardinal Glass Industries,,CGD89_092661,,uncoated,4,3.900,,,,,,,,"похоже на лабораторный код, не товар",,CGD89_092661,0.860,0.654,0.149,IGDB v97.0,18102
Cardinal Glass Industries,,Comfort Select 73 on 4mm Clear,clear,lowe,4,3.900,,,,,,,,,Comfort Select 73,Clear,0.825,0.689,0.840,IGDB v89.0,1033
Cardinal Glass Industries,,Comfort Select 73Plus on 4mm Clear,clear,lowe,4,3.910,,,,,,,,,Comfort Select 73Plus,Clear,0.843,0.710,0.184,IGDB v90.0,1024
Cardinal Glass Industries,,Float Glass - 4mm,clear,uncoated,4,3.900,,,,,,,,,,Float Glass,0.901,0.833,0.840,IGDB v85.0,2002
Cardinal Glass Industries,,i89 on 4mm Clear,clear,lowe,4,3.900,,,,,,,,,i89,Clear,0.880,0.722,0.149,IGDB v97.0,2160
Cardinal Glass Industries,,LoE 180 on 4mm Clear,clear,lowe,4,3.900,,,,,,,,,LoE 180,Clear,0.868,0.678,0.068,IGDB v97.0,2192
Cardinal Glass Industries,,LoE 180ESC on 4mm Clear,clear,lowe,4,3.900,,,,,,,,,LoE 180ESC,Clear,0.869,0.696,0.080,IGDB v71.0,2032
Cardinal Glass Industries,,LoE 340+ on 4mm Clear,clear,lowe,4,3.900,,,,,,,,,LoE 340+,Clear,0.429,0.160,0.027,IGDB v107.0,2140
Cardinal Glass Industries,,LoE² 240 on 4mm Clear,clear,lowe,4,3.900,,,,,,,,,LoE² 240,Clear,0.434,0.229,0.051,IGDB v92.0,2045
Cardinal Glass Industries,,LoE² 270 on 4mm Clear,clear,lowe,4,3.900,,,,,,,,,LoE² 270,Clear,0.764,0.372,0.035,IGDB v69.0,2027
Cardinal Glass Industries,,LoE² 272 on 4 mm Clear,clear,lowe,4,3.900,,,,,,,,,LoE² 272,Clear,0.790,0.424,0.042,IGDB v97.0,2012
Cardinal Glass Industries,,LoE³ 340 on 4mm Clear,clear,lowe,4,3.900,,,,,,,,,LoE³ 340,Clear,0.425,0.163,0.028,IGDB v40.0,2165
Cardinal Glass Industries,,LoE³ 366 on 4mm Clear,clear,lowe,4,3.900,,,,,,,,,LoE³ 366,Clear,0.711,0.274,0.020,IGDB v69.0,2155
Cardinal Glass Industries,,PureVision - 4mm,clear,uncoated,4,3.900,,,,,,,,,,PureVision,0.908,0.872,0.840,IGDB v89.0,874
Cardinal Glass Industries,,Quad LoE 452 on 4mm Clear,clear,lowe,4,3.900,,,,,,,,,Quad LoE 452,Clear,0.572,0.211,0.018,IGDB v72.0,2105
Cardinal Glass Industries,,R500 on 4mm Clear,clear,,4,3.900,,,,,,,,семейство покрытия не определено — проверь,R500,Clear,0.782,0.750,0.841,IGDB v82.0,18131
Cardinal Glass Industries,,x89 on 4mm Clear,clear,lowe,4,3.900,,,,,,,,,x89,Clear,0.884,0.738,0.840,IGDB v29.0,2007
Cardinal Glass Industries,,CG2-16 08211981,,uncoated,5,4.700,,,,,,,,"похоже на лабораторный код, не товар",,CG2-16 08211981,0.164,0.073,0.044,IGDB v60.0,18212
Cardinal Glass Industries,,CG2-55_22124-5,,uncoated,5,4.700,,,,,,,,"похоже на лабораторный код, не товар",,CG2-55_22124-5,0.596,0.253,0.028,IGDB v101.0,2198
Cardinal Glass Industries,,CG3-15_10181,,uncoated,5,4.700,,,,,,,,"похоже на лабораторный код, не товар",,CG3-15_10181,0.147,0.057,0.030,IGDB v82.0,18266
Cardinal Glass Industries,,CG60 011080,,uncoated,5,4.700,,,,,,,,"похоже на лабораторный код, не товар",,CG60 011080,0.641,0.246,0.020,IGDB v90.0,18277
Cardinal Glass Industries,,CG74 041990,,uncoated,5,4.700,,,,,,,,"похоже на лабораторный код, не товар",,CG74 041990,0.815,0.478,0.045,IGDB v90.0,18271
Cardinal Glass Industries,,CGA86-55 5mm,,uncoated,5,4.700,,,,,,,,"похоже на лабораторный код, не товар",,CGA86-55,0.856,0.581,0.053,IGDB v103.0,2136
Cardinal Glass Industries,,CGD89_092661,,uncoated,5,4.700,,,,,,,,"похоже на лабораторный код, не товар",,CGD89_092661,0.855,0.644,0.149,IGDB v97.0,18103
Cardinal Glass Industries,,Clear-2 / .030 PVB / Clear-2,clear,uncoated,5,5.160,,,,,,,,"ЛАМИНАТ — не продукт каталога, состав задаётся в Makeup",,Clear-2 / .030 PVB / Clear-2,0.885,0.770,0.840,IGDB v86.0,2049
Cardinal Glass Industries,,Clear-2 / 0.030 PVB / i89-2 (4),clear,uncoated,5,5.160,,,,,,,в имени IGDB зашиты номера поверхностей,"ЛАМИНАТ — не продукт каталога, состав задаётся в Makeup",,Clear-2 / 0.030 PVB / i89-2 (4),0.881,0.683,0.149,IGDB v93.0,18280
Cardinal Glass Industries,,Clear-2 / 0.030 SGP / i89-2 (4),clear,uncoated,5,5.160,,,,,,,в имени IGDB зашиты номера поверхностей,"ЛАМИНАТ — не продукт каталога, состав задаётся в Makeup",,Clear-2 / 0.030 SGP / i89-2 (4),0.880,0.688,0.149,IGDB v93.0,18281
Cardinal Glass Industries,,Comfort Select 73 on 5mm Clear,clear,lowe,5,4.700,,,,,,,,,Comfort Select 73,Clear,0.825,0.675,0.840,IGDB v89.0,1034
Cardinal Glass Industries,,Comfort Select 73Plus on 5mm Clear,clear,lowe,5,4.700,,,,,,,,,Comfort Select 73Plus,Clear,0.832,0.698,0.186,IGDB v89.0,1025
Cardinal Glass Industries,,Float Glass - 5mm,clear,uncoated,5,4.700,,,,,,,,,,Float Glass,0.898,0.819,0.840,IGDB v85.0,2003
Cardinal Glass Industries,,i89 on 5mm Clear,clear,lowe,5,4.700,,,,,,,,,i89,Clear,0.877,0.710,0.149,IGDB v97.0,2161
Cardinal Glass Industries,,LoE 180 on 5mm Clear,clear,lowe,5,4.700,,,,,,,,,LoE 180,Clear,0.864,0.667,0.068,IGDB v97.0,2193
Cardinal Glass Industries,,LoE 180ESC on 5mm Clear,clear,lowe,5,4.700,,,,,,,,,LoE 180ESC,Clear,0.865,0.686,0.080,IGDB v71.0,2033
Cardinal Glass Industries,,LoE 340+ on 5mm Clear,clear,lowe,5,4.700,,,,,,,,,LoE 340+,Clear,0.427,0.159,0.027,IGDB v107.0,2141
Cardinal Glass Industries,,LoE² 240 on 5mm Clear,clear,lowe,5,4.700,,,,,,,,,LoE² 240,Clear,0.433,0.227,0.051,IGDB v92.0,2046
Cardinal Glass Industries,,LoE² 270 on 5mm Clear,clear,lowe,5,4.700,,,,,,,,,LoE² 270,Clear,0.760,0.368,0.035,IGDB v69.0,2028
Cardinal Glass Industries,,LoE² 272 on 5 mm Clear,clear,lowe,5,4.700,,,,,,,,,LoE² 272,Clear,0.787,0.420,0.042,IGDB v97.0,2013
Cardinal Glass Industries,,LoE³ 340 on 5mm Clear,clear,lowe,5,4.700,,,,,,,,,LoE³ 340,Clear,0.423,0.161,0.028,IGDB v40.0,2166
Cardinal Glass Industries,,LoE³ 366 on 5mm Clear,clear,lowe,5,4.700,,,,,,,,,LoE³ 366,Clear,0.707,0.272,0.020,IGDB v69.0,2156
Cardinal Glass Industries,,PureVision - 5mm,clear,uncoated,5,4.700,,,,,,,,,,PureVision,0.907,0.863,0.840,IGDB v89.0,875
Cardinal Glass Industries,,Quad LoE 452 on 5mm Clear,clear,lowe,5,4.700,,,,,,,,,Quad LoE 452,Clear,0.569,0.209,0.018,IGDB v72.0,2106
Cardinal Glass Industries,,R500 on 5mm Clear,clear,,5,4.700,,,,,,,,семейство покрытия не определено — проверь,R500,Clear,0.778,0.738,0.841,IGDB v82.0,18132
Cardinal Glass Industries,,x89 on 5mm Clear,clear,lowe,5,4.700,,,,,,,,,x89,Clear,0.879,0.727,0.840,IGDB v29.0,2008
Cardinal Glass Industries,,Bronze-2.7 / .030 PVB 52% Bronze / Clear-2.7,tinted,uncoated,6,6.160,,,,,,,,"ЛАМИНАТ — не продукт каталога, состав задаётся в Makeup",,Bronze-2.7 / .030 PVB 52% Bronze / Clear-2.7,0.544,0.533,0.840,IGDB v20.0,2152
Cardinal Glass Industries,,CG2-16 08211981,,uncoated,6,5.700,,,,,,,,"похоже на лабораторный код, не товар",,CG2-16 08211981,0.163,0.072,0.044,IGDB v60.0,18213
Cardinal Glass Industries,,CG2-55_22124-6,,uncoated,6,5.700,,,,,,,,"похоже на лабораторный код, не товар",,CG2-55_22124-6,0.590,0.249,0.028,IGDB v101.0,2199
Cardinal Glass Industries,,CG3-15_10181,,uncoated,6,5.700,,,,,,,,"похоже на лабораторный код, не товар",,CG3-15_10181,0.146,0.056,0.030,IGDB v82.0,18267
Cardinal Glass Industries,,CG60 011080,,uncoated,6,5.700,,,,,,,,"похоже на лабораторный код, не товар",,CG60 011080,0.635,0.243,0.020,IGDB v90.0,18278
Cardinal Glass Industries,,CG74 041990,,uncoated,6,5.700,,,,,,,,"похоже на лабораторный код, не товар",,CG74 041990,0.808,0.467,0.045,IGDB v90.0,18272
Cardinal Glass Industries,,CGA86-55 6mm,,uncoated,6,5.700,,,,,,,,"похоже на лабораторный код, не товар",,CGA86-55,0.848,0.566,0.053,IGDB v103.0,2137
Cardinal Glass Industries,,CGD89_092661,,uncoated,6,5.700,,,,,,,,"похоже на лабораторный код, не товар",,CGD89_092661,0.850,0.626,0.149,IGDB v65.0,18104
Cardinal Glass Industries,,Clear-2 / 0.060 PVB / i89-2 (4),clear,uncoated,6,5.920,,,,,,,в имени IGDB зашиты номера поверхностей,"ЛАМИНАТ — не продукт каталога, состав задаётся в Makeup",,Clear-2 / 0.060 PVB / i89-2 (4),0.875,0.673,0.149,IGDB v93.0,18282
Cardinal Glass Industries,,Clear-2 / 0.060 SGP / i89-2 (4),clear,uncoated,6,5.920,,,,,,,в имени IGDB зашиты номера поверхностей,"ЛАМИНАТ — не продукт каталога, состав задаётся в Makeup",,Clear-2 / 0.060 SGP / i89-2 (4),0.872,0.671,0.149,IGDB v93.0,18283
Cardinal Glass Industries,,Clear-2 / 0.090 PVB / i89-2 (4),clear,uncoated,6,6.690,,,,,,,в имени IGDB зашиты номера поверхностей,"ЛАМИНАТ — не продукт каталога, состав задаётся в Makeup",,Clear-2 / 0.090 PVB / i89-2 (4),0.872,0.665,0.149,IGDB v93.0,18284
Cardinal Glass Industries,,Clear-2 / 0.090 SGP / i89-2 (4),clear,uncoated,6,6.690,,,,,,,в имени IGDB зашиты номера поверхностей,"ЛАМИНАТ — не продукт каталога, состав задаётся в Makeup",,Clear-2 / 0.090 SGP / i89-2 (4),0.872,0.670,0.149,IGDB v93.0,18285
Cardinal Glass Industries,,Clear-2.3 / .060 SGP / Clear-2.3,clear,uncoated,6,6.120,,,,,,,,"ЛАМИНАТ — не продукт каталога, состав задаётся в Makeup",,Clear-2.3 / .060 SGP / Clear-2.3,0.889,0.750,0.840,IGDB v25.2,2061
Cardinal Glass Industries,,Clear-2.3 / .090 SGP / Clear-2.3,clear,uncoated,6,6.880,,,,,,,,"ЛАМИНАТ — не продукт каталога, состав задаётся в Makeup",,Clear-2.3 / .090 SGP / Clear-2.3,0.885,0.727,0.840,IGDB v25.2,2062
Cardinal Glass Industries,,Clear-2.7 / .030 PVB / Clear-2.7,clear,uncoated,6,6.160,,,,,,,,"ЛАМИНАТ — не продукт каталога, состав задаётся в Makeup",,Clear-2.7 / .030 PVB / Clear-2.7,0.885,0.746,0.840,IGDB v20.0,2087
Cardinal Glass Industries,,Clear-2.7 / .030 Sound Control PVB / E270-2.7 (4),clear,uncoated,6,6.100,,,,,,,в имени IGDB зашиты номера поверхностей,"ЛАМИНАТ — не продукт каталога, состав задаётся в Makeup",,Clear-2.7 / .030 Sound Control PVB / E270-2.7 (4),0.750,0.348,0.035,IGDB v69.0,18125
Cardinal Glass Industries,,Clear-2.7 / .030 Sound Control PVB / E366-2.7 (4),clear,uncoated,6,6.100,,,,,,,в имени IGDB зашиты номера поверхностей,"ЛАМИНАТ — не продукт каталога, состав задаётся в Makeup",,Clear-2.7 / .030 Sound Control PVB / E366-2.7 (4),0.699,0.270,0.020,IGDB v69.0,18126
Cardinal Glass Industries,,Clear-2.7 / .060 PVB / Clear-2.7,clear,uncoated,6,6.930,,,,,,,,"ЛАМИНАТ — не продукт каталога, состав задаётся в Makeup",,Clear-2.7 / .060 PVB / Clear-2.7,0.884,0.732,0.840,IGDB v20.0,2088
Cardinal Glass Industries,,Clear-3 / .030 Lavender PVB / Clear-3,clear,uncoated,6,6.960,,,,,,,,"ЛАМИНАТ — не продукт каталога, состав задаётся в Makeup",,Clear-3 / .030 Lavender PVB / Clear-3,0.763,0.716,0.840,IGDB v64.0,2056
Cardinal Glass Industries,,Clear-3 / .030 PVB / Bronze-3,tinted,uncoated,6,6.960,,,,,,,,"ЛАМИНАТ — не продукт каталога, состав задаётся в Makeup",,Clear-3 / .030 PVB / Bronze-3,0.677,0.574,0.840,IGDB v64.0,2057
Cardinal Glass Industries,,Clear-3 / 0.030 PVB / i89-3 (4),clear,uncoated,6,6.960,,,,,,,в имени IGDB зашиты номера поверхностей,"ЛАМИНАТ — не продукт каталога, состав задаётся в Makeup",,Clear-3 / 0.030 PVB / i89-3 (4),0.877,0.668,0.149,IGDB v93.0,18286
Cardinal Glass Industries,,Clear-3 / 0.030 SGP / i89-3 (4),clear,uncoated,6,6.960,,,,,,,в имени IGDB зашиты номера поверхностей,"ЛАМИНАТ — не продукт каталога, состав задаётся в Makeup",,Clear-3 / 0.030 SGP / i89-3 (4),0.876,0.663,0.149,IGDB v93.0,18287
Cardinal Glass Industries,,E366-3 (2) / 0.030 PVB / i89-3 (4),,uncoated,6,6.760,,,,,,,в имени IGDB зашиты номера поверхностей,"ЛАМИНАТ — не продукт каталога, состав задаётся в Makeup",,E366-3 (2) / 0.030 PVB / i89-3 (4),0.605,0.234,0.149,IGDB v44.0,18094
Cardinal Glass Industries,,Energy Select 73Plus on 6mm Clear,clear,lowe,6,5.700,,,,,,,,,Energy Select 73Plus,Clear,0.832,0.681,0.188,IGDB v89.0,1026
Cardinal Glass Industries,,Float Glass - 6mm,clear,uncoated,6,5.700,,,,,,,,,,Float Glass,0.889,0.793,0.840,IGDB v85.0,2004
Cardinal Glass Industries,,Gray-2.7 / .030 PVB 44% Gray / Clear-2.7,tinted,uncoated,6,6.160,,,,,,,,"ЛАМИНАТ — не продукт каталога, состав задаётся в Makeup",,Gray-2.7 / .030 PVB 44% Gray / Clear-2.7,0.437,0.493,0.840,IGDB v20.0,2150
Cardinal Glass Industries,,Green-2.7 / .030 PVB 73% Green / Clear-2.7,tinted,uncoated,6,6.160,,,,,,,,"ЛАМИНАТ — не продукт каталога, состав задаётся в Makeup",,Green-2.7 / .030 PVB 73% Green / Clear-2.7,0.723,0.655,0.840,IGDB v20.0,2151
Cardinal Glass Industries,,i89 on 6mm Clear,clear,lowe,6,5.700,,,,,,,,,i89,Clear,0.869,0.689,0.149,IGDB v97.0,2162
Cardinal Glass Industries,,LoE 180 on 6mm Clear,clear,lowe,6,5.700,,,,,,,,,LoE 180,Clear,0.856,0.648,0.068,IGDB v97.0,2194
Cardinal Glass Industries,,LoE 180ESC on 6mm Clear,clear,lowe,6,5.700,,,,,,,,,LoE 180ESC,Clear,0.859,0.666,0.080,IGDB v71.0,2034
Cardinal Glass Industries,,LoE 340+ on 6mm Clear,clear,lowe,6,5.700,,,,,,,,,LoE 340+,Clear,0.424,0.157,0.027,IGDB v107.0,2142
Cardinal Glass Industries,,LoE² 240 on 6mm Clear,clear,lowe,6,5.700,,,,,,,,,LoE² 240,Clear,0.422,0.223,0.051,IGDB v92.0,2047
Cardinal Glass Industries,,LoE² 270 on 6mm Clear,clear,lowe,6,5.700,,,,,,,,,LoE² 270,Clear,0.755,0.362,0.035,IGDB v69.0,2029
Cardinal Glass Industries,,LoE² 272 on 6 mm Clear,clear,lowe,6,5.700,,,,,,,,,LoE² 272,Clear,0.780,0.411,0.042,IGDB v97.0,2014
Cardinal Glass Industries,,LoE³ 340 on 6mm Clear,clear,lowe,6,5.700,,,,,,,,,LoE³ 340,Clear,0.420,0.160,0.028,IGDB v40.0,2167
Cardinal Glass Industries,,LoE³ 366 on 6mm Clear,clear,lowe,6,5.700,,,,,,,,,LoE³ 366,Clear,0.703,0.269,0.020,IGDB v69.0,2157
Cardinal Glass Industries,,PureVision - 6mm,clear,uncoated,6,5.700,,,,,,,,,,PureVision,0.905,0.854,0.840,IGDB v89.0,876
Cardinal Glass Industries,,Quad LoE 452 on 6mm Clear,clear,lowe,6,5.700,,,,,,,,,Quad LoE 452,Clear,0.566,0.207,0.018,IGDB v72.0,2107
Cardinal Glass Industries,,R500 on 6mm Clear,clear,,6,5.700,,,,,,,,семейство покрытия не определено — проверь,R500,Clear,0.773,0.715,0.841,IGDB v82.0,18133
Cardinal Glass Industries,,x89 on 6mm Clear,clear,lowe,6,5.700,,,,,,,,,x89,Clear,0.874,0.705,0.840,IGDB v29.0,2009
Cardinal Glass Industries,,Azuria-3 / .090 PVB / E270-3 (3),tinted,uncoated,8,8.300,,,,,,,в имени IGDB зашиты номера поверхностей,"ЛАМИНАТ — не продукт каталога, состав задаётся в Makeup",,Azuria-3 / .090 PVB / E270-3 (3),0.634,0.245,0.840,IGDB v58.0,18141
Cardinal Glass Industries,,Azuria-3 / .090 PVB / E366-3 (3),tinted,uncoated,8,8.300,,,,,,,в имени IGDB зашиты номера поверхностей,"ЛАМИНАТ — не продукт каталога, состав задаётся в Makeup",,Azuria-3 / .090 PVB / E366-3 (3),0.542,0.195,0.840,IGDB v58.0,18142
Cardinal Glass Industries,,Azuria-3 / .090 SGP / E270-3 (3),tinted,uncoated,8,8.300,,,,,,,в имени IGDB зашиты номера поверхностей,"ЛАМИНАТ — не продукт каталога, состав задаётся в Makeup",,Azuria-3 / .090 SGP / E270-3 (3),0.634,0.248,0.840,IGDB v58.0,18143
Cardinal Glass Industries,,Azuria-3 / .090 SGP / E366-3 (3),tinted,uncoated,8,8.300,,,,,,,в имени IGDB зашиты номера поверхностей,"ЛАМИНАТ — не продукт каталога, состав задаётся в Makeup",,Azuria-3 / .090 SGP / E366-3 (3),0.541,0.196,0.840,IGDB v58.0,18144
Cardinal Glass Industries,,Bronze-3 / .090 PVB / E270-3 (3),tinted,uncoated,8,8.300,,,,,,,в имени IGDB зашиты номера поверхностей,"ЛАМИНАТ — не продукт каталога, состав задаётся в Makeup",,Bronze-3 / .090 PVB / E270-3 (3),0.549,0.250,0.840,IGDB v58.0,18155
