code,name,item_group,kind,price_unit,spil_calc_unit,spil_stock_unit,station,thickness_mm,performed_by,stage,affects_size,allowance_w_in,allowance_h_in,price,review,note
SANDBLAST,SANDBLASTING,OTHER SERVICES,operation,each,Flat,EACH,SAND,,in_house,any,,,,,,после закалки; если деталь не закаляется — после кромки
MIRROR SAFTEY BACK,MIRROR SAFTEY BACKER,OTHER SERVICES,material,ft2,Area,SF,,,,,,,,,"это МАТЕРИАЛ, а не услуга — в каталог материалов",
SGP LAMI 006,SGP LAMI 006,OTHER,material,ft2,Area,SF,,,,,,,,,"это МАТЕРИАЛ, а не услуга — в каталог материалов",
EXTRA SHAPE IGU,EXTRA CHARGE FOR IGU SHAPES,OTHER,surcharge,each,Flat,EACH,,,,,,,,,"это НАДБАВКА — в настройки ценообразования, не в услуги цеха",
TRIPLE LAMI,TRIPLE LAMI,OTHER SERVICES,surcharge,each,Flat,EACH,,,,,,,,,"это НАДБАВКА — в настройки ценообразования, не в услуги цеха",
TRIPLE IGU,TRIPLE IGU,OTHER SERVICES,surcharge,each,Flat,EACH,,,,,,,,,"это НАДБАВКА — в настройки ценообразования, не в услуги цеха",
OVERSIZED IGU,OVERSIZED IGU,OTHER SERVICES,surcharge,each,Flat,EACH,,,,,,,,,"это НАДБАВКА — в настройки ценообразования, не в услуги цеха",
8HTSK,8MM GLASS HEAT SOAK TEST,GLASS SERVICES,operation,ft2,Area,SF,TEMP,8,in_house,post_temper,,,,,,"отдельная машина после закалки, по запросу клиента"
HST SUF,HEAT SOAK TEST SET UP FEE,OTHER,operation,each,Flat,EACH,TEMP,,in_house,post_temper,,,,,,"отдельная машина после закалки, по запросу клиента"
NOTCHES BY CNC,NOTCHES BY CNC,NOTCHES BY CNC,operation,each,Flat,EACH,PROC,,in_house,pre_temper,,,,,,
STEP POLI,STEP POLISHING CNC,CNC STEP POLISHING,operation,lm_in,Lineal,IN,POL,,in_house,pre_temper,,,,,,
ECH FOR TRIPLE IGU,EXTRA CHARGES FOR TRIPLE IG UNITS,OTHER,surcharge,each,Flat,EACH,,,,,,,,,"это НАДБАВКА — в настройки ценообразования, не в услуги цеха",
ECH FOR OS GLASSES,EXTRA CHARGES FOR OVER SIZED GLASSES,OTHER,surcharge,each,Flat,EACH,,,,,,,,,"это НАДБАВКА — в настройки ценообразования, не в услуги цеха",
"5/8""x1/4"" BLACK MUNTIN BAR","5/8""x1/4"" BLACK MUNTIN BAR",GLASS SERVICES,material,each,Flat,EACH,,15,,,,,,,"это МАТЕРИАЛ, а не услуга — в каталог материалов; поле «толщина» = 15 — это профиль бара, а не толщина стекла",
DIGIT GLASS PRINT,DIGITAL GLASS PRINTING,OTHER SERVICES,operation,ft2,Area,SF,CERPAINT,6,outsourced,,,,,,,своя машина не работает около года; стекло отдаём на сторону и перевыставляем клиенту
EXTR CHRG FOR WASTE,EXTRA CHARGES FOR WASTE OF GLASS FROM OPTIMIZATION,OTHER,surcharge,each,Flat,EACH,,,,,,,,,"это НАДБАВКА — в настройки ценообразования, не в услуги цеха",
OPACI COAT ST COL,OPACI COAT STANDARD COLOUR PAINTING,GLASS SERVICES,operation,ft2,Area,SF,PAINT,6,in_house,,,,,,,
OPACI COAT CUST COL,OPACI COAT CUSTOM COLOUR PAINT,GLASS SERVICES,operation,ft2,Area,SF,PAINT,6,in_house,,,,,,,
DIGT CERM PRNT PART,DIGITAL CERAMIC PRINTING - PARTIAL FRIT,GLASS SERVICES,operation,ft2,Area,SF,CERPAINT,6,outsourced,,,,,,,своя машина не работает около года; стекло отдаём на сторону и перевыставляем клиенту
DIGT CERM PRNT FULL,DIGITAL CERAMIC PRINTING -FULL FRIT,GLASS SERVICES,operation,ft2,Area,SF,CERPAINT,6,outsourced,,,,,,,своя машина не работает около года; стекло отдаём на сторону и перевыставляем клиенту
CERM FRIT - FULL,CERAMIC FRIT - FULL COVARAGE  - 100%,GLASS SERVICES,operation,ft2,Area,SF,CERPAINT,6,in_house,,,,,,"МЁРТВАЯ ПОЗИЦИЯ — такого силкскрина нет: только точки 2x2, 4x4, 2x4 и два цвета",
CERM FRIT - DOTS,CERAMIC FRIT - PARTIAL COVARAGE - DOTS,GLASS SERVICES,operation,ft2,Area,SF,CERPAINT,6,in_house,,,,,,,"живая позиция: точки 5мм, узоры 2x2 / 4x4 / 2x4, цвета white и acid etch"
CERM FRIT - PATTERN,CERAMIC FRIT -PARTIAL COVERAGE - PATTERN,GLASS SERVICES,operation,ft2,Area,SF,CERPAINT,6,in_house,,,,,,"МЁРТВАЯ ПОЗИЦИЯ — такого силкскрина нет: только точки 2x2, 4x4, 2x4 и два цвета",
TEMP STAMP,TEMPERING STAMP,OTHER,operation,each,Flat,EACH,TEMP,,in_house,,,,,,,
CCFEE,Credit card fee,OTHER,surcharge,each,Flat,EACH,,,,,,,,,"это НАДБАВКА — в настройки ценообразования, не в услуги цеха",
HS STAMP,HEAT STRENGTHENING STAMP,OTHER,operation,each,Flat,EACH,TEMP,,in_house,,,,,,,
MIIROR EDGE SEALANT,MIIROR EDGE SEALANT,GLASS SERVICES,material,lm_in,Lineal,IN,,,,,,,,,"это МАТЕРИАЛ, а не услуга — в каталог материалов",
